id,date,temp,light,depth
1,8/12/2015 16:20,27.961,0,deep
2,8/12/2015 17:20,26.879,333.7,deep
3,8/12/2015 18:20,26.879,247.6,deep
4,8/12/2015 19:20,26.683,53.8,deep
5,8/12/2015 20:20,28.357,0,deep
6,8/12/2015 21:20,28.456,0,deep
7,8/12/2015 22:20,28.555,0,deep
8,8/12/2015 23:20,28.555,0,deep
9,8/13/2015 0:20,28.555,0,deep
10,8/13/2015 1:20,28.456,0,deep
11,8/13/2015 2:20,27.961,0,deep
12,8/13/2015 3:20,28.159,0,deep
13,8/13/2015 4:20,28.258,0,deep
14,8/13/2015 5:20,28.357,0,deep
15,8/13/2015 6:20,28.357,0,deep
16,8/13/2015 7:20,28.357,0,deep
17,8/13/2015 8:20,28.357,0,deep
18,8/13/2015 9:20,28.357,0,deep
19,8/13/2015 10:20,28.456,0,deep
20,8/13/2015 11:20,30.963,10.8,deep
21,8/13/2015 12:20,33.639,21.5,deep
22,8/13/2015 13:20,36.403,10.8,deep
23,8/13/2015 14:20,36.837,32.3,deep
24,8/13/2015 15:20,30.054,0,deep
25,8/13/2015 16:20,28.953,0,deep
26,8/13/2015 17:20,28.754,0,deep
27,8/13/2015 18:20,28.655,0,deep
28,8/13/2015 19:20,28.555,0,deep
29,8/13/2015 20:20,28.555,0,deep
30,8/13/2015 21:20,28.655,0,deep
31,8/13/2015 22:20,28.655,0,deep
32,8/13/2015 23:20,28.655,0,deep
33,8/14/2015 0:20,28.754,0,deep
34,8/14/2015 1:20,28.06,0,deep
35,8/14/2015 2:20,28.06,0,deep
36,8/14/2015 3:20,28.258,0,deep
37,8/14/2015 4:20,28.456,0,deep
38,8/14/2015 5:20,28.456,0,deep
39,8/14/2015 6:20,28.555,0,deep
40,8/14/2015 7:20,28.555,0,deep
41,8/14/2015 8:20,28.555,0,deep
42,8/14/2015 9:20,28.655,0,deep
43,8/14/2015 10:20,28.655,0,deep
44,8/14/2015 11:20,28.754,0,deep
45,8/14/2015 12:20,28.754,0,deep
46,8/14/2015 13:20,28.853,0,deep
47,8/14/2015 14:20,28.754,0,deep
48,8/14/2015 15:20,28.853,0,deep
49,8/14/2015 16:20,28.853,0,deep
50,8/14/2015 17:20,28.853,0,deep
51,8/14/2015 18:20,30.76,0,deep
52,8/14/2015 19:20,32.086,0,deep
53,8/14/2015 20:20,31.37,0,deep
54,8/14/2015 21:20,30.054,0,deep
55,8/14/2015 22:20,28.456,0,deep
56,8/14/2015 23:20,28.357,0,deep
57,8/15/2015 0:20,28.258,0,deep
58,8/15/2015 1:20,28.06,0,deep
59,8/15/2015 2:20,27.862,0,deep
60,8/15/2015 3:20,27.961,0,deep
61,8/15/2015 4:20,27.862,0,deep
62,8/15/2015 5:20,27.764,0,deep
63,8/15/2015 6:20,27.567,0,deep
64,8/15/2015 7:20,28.06,21.5,deep
65,8/15/2015 8:20,29.552,21.5,deep
66,8/15/2015 9:20,31.574,43.1,deep
67,8/15/2015 10:20,33.848,32.3,deep
68,8/15/2015 11:20,34.691,107.6,deep
69,8/15/2015 12:20,36.079,96.9,deep
70,8/15/2015 13:20,37.055,53.8,deep
71,8/15/2015 14:20,37.165,43.1,deep
72,8/15/2015 15:20,36.62,10.8,deep
73,8/15/2015 16:20,35.971,32.3,deep
74,8/15/2015 17:20,35.328,0,deep
75,8/15/2015 18:20,32.6,0,deep
76,8/15/2015 19:20,29.953,0,deep
77,8/15/2015 20:20,28.258,0,deep
78,8/15/2015 21:20,27.173,0,deep
79,8/15/2015 22:20,26.683,0,deep
80,8/15/2015 23:20,26.488,0,deep
81,8/16/2015 0:20,26.39,0,deep
82,8/16/2015 1:20,26.585,0,deep
83,8/16/2015 2:20,26.195,0,deep
84,8/16/2015 3:20,26.292,0,deep
85,8/16/2015 4:20,26.585,0,deep
86,8/16/2015 5:20,26.781,0,deep
87,8/16/2015 6:20,26.781,0,deep
88,8/16/2015 7:20,26.781,0,deep
89,8/16/2015 8:20,27.075,0,deep
90,8/16/2015 9:20,27.961,21.5,deep
91,8/16/2015 10:20,29.752,32.3,deep
92,8/16/2015 11:20,31.166,75.3,deep
93,8/16/2015 12:20,33.222,86.1,deep
94,8/16/2015 13:20,34.691,53.8,deep
95,8/16/2015 14:20,38.938,43.1,deep
96,8/16/2015 15:20,35.222,0,deep
