Experiment,Plate,Colony,Orientation,Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP,,
A,1,NA,NA,A1,A_NTC,A1_Assay,NTC,SYBR,None,32.71,,,,,,TRUE,0.0249,TRUE,3,30,81.3929,76.7701,68.1208,,Y,N,N,N,Y,,
A,1,NA,NA,A2,A_NTC,A1_Assay,NTC,SYBR,None,32.9,,,,,,TRUE,0.0249,TRUE,3,31,80.0508,83.7789,73.0419,,Y,N,N,N,Y,,
A,1,NA,NA,A3,A_e-2,A1_Assay,STANDARD,SYBR,None,31.93,31.1648,1.0783,0.01,,,TRUE,0.0249,TRUE,3,30,80.5021,73.0469,77.6691,,N,Y,N,N,Y,,
A,1,NA,NA,A4,A_e-2,A1_Assay,STANDARD,SYBR,None,30.4,31.1648,1.0783,0.01,,,TRUE,0.0249,TRUE,3,28,75.4325,,,,N,Y,N,N,N,,
A,1,NA,NA,A5,A_e-1,A1_Assay,STANDARD,SYBR,None,27.88,27.7413,0.199,0.1,,,TRUE,0.0249,TRUE,3,26,76.9335,,,,N,N,N,N,N,,
A,1,NA,NA,A6,A_e-1,A1_Assay,STANDARD,SYBR,None,27.6,27.7413,0.199,0.1,,,TRUE,0.0249,TRUE,3,25,77.3809,,,,N,N,N,N,N,,
A,1,NA,NA,A7,A_e0,A1_Assay,STANDARD,SYBR,None,24.75,24.7942,0.0677,1,,,TRUE,0.0249,TRUE,3,22,77.2213,,,,N,N,N,N,N,,
A,1,NA,NA,A8,A_e0,A1_Assay,STANDARD,SYBR,None,24.84,24.7942,0.0677,1,,,TRUE,0.0249,TRUE,3,23,76.923,,,,N,N,N,N,N,,
A,1,NA,NA,A9,A_e+1,A1_Assay,STANDARD,SYBR,None,21.48,21.5216,0.0614,10,,,TRUE,0.0249,TRUE,3,19,77.5233,,,,N,N,N,N,N,,
A,1,NA,NA,A10,A_e+1,A1_Assay,STANDARD,SYBR,None,21.57,21.5216,0.0614,10,,,TRUE,0.0249,TRUE,3,19,77.3742,,,,N,N,N,N,N,,
A,1,NA,NA,A11,DD_Red23_0W,A1_Assay,UNKNOWN,SYBR,None,35.5,34.7198,1.1044,0.0004,0.0008,0.0006,TRUE,0.0249,TRUE,3,32,77.2213,65.5903,,,N,Y,N,N,Y,,
A,1,NA,NA,A12,DD_Red23_0W,A1_Assay,UNKNOWN,SYBR,None,33.94,34.7198,1.1044,0.0013,0.0008,0.0006,TRUE,0.0249,TRUE,3,31,77.2213,,,,N,Y,N,N,N,,
A,1,NA,NA,B1,S_NTC,S1_Assay,NTC,SYBR,None,32.2,,,,,,TRUE,0.1278,TRUE,3,28,73.1911,80.7964,,,Y,N,N,N,Y,,
A,1,NA,NA,B2,S_NTC,S1_Assay,NTC,SYBR,None,31.26,,,,,,TRUE,0.1278,TRUE,3,27,73.4893,,,,Y,N,N,N,N,,
A,1,NA,NA,B3,S_e-2,S1_Assay,STANDARD,SYBR,None,29.98,29.9558,0.0327,0.01,,,TRUE,0.1278,TRUE,3,26,73.6433,79.4584,,,N,N,N,N,Y,,
A,1,NA,NA,B4,S_e-2,S1_Assay,STANDARD,SYBR,None,29.93,29.9558,0.0327,0.01,,,TRUE,0.1278,TRUE,3,26,73.4942,79.6075,,,N,N,N,N,Y,,
A,1,NA,NA,B5,S_e-1,S1_Assay,STANDARD,SYBR,None,26.93,26.7493,0.257,0.1,,,TRUE,0.1278,TRUE,3,23,79.4685,,,,N,N,N,N,N,,
A,1,NA,NA,B6,S_e-1,S1_Assay,STANDARD,SYBR,None,26.57,26.7493,0.257,0.1,,,TRUE,0.1278,TRUE,3,22,79.3194,,,,N,N,N,N,N,,
A,1,NA,NA,B7,S_e0,S1_Assay,STANDARD,SYBR,None,22.82,22.8585,0.0529,1,,,TRUE,0.1278,TRUE,3,18,79.3089,,,,N,N,N,N,N,,
A,1,NA,NA,B8,S_e0,S1_Assay,STANDARD,SYBR,None,22.9,22.8585,0.0529,1,,,TRUE,0.1278,TRUE,3,19,79.1597,,,,N,N,N,N,N,,
A,1,NA,NA,B9,S_e+1,S1_Assay,STANDARD,SYBR,None,18.86,18.8523,0.0105,10,,,TRUE,0.1278,TRUE,3,14,79.76,,,,N,N,N,N,N,,
A,1,NA,NA,B10,S_e+1,S1_Assay,STANDARD,SYBR,None,18.84,18.8523,0.0105,10,,,TRUE,0.1278,TRUE,3,14,79.76,,,,N,N,N,N,N,,
